Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2017,06/04/2017,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,,Spun Copper,ABIGAIL C. ADSIT,DYLAN DAVIS,Spun Copper-Tr. Abigail Adsit-pulled up-ambulanced off-claim void-no injury reported-retired to New Vocations,
2017,06/02/2017,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,75* Clear,Midnight Bounty,ABIGAIL C. ADSIT,DYLAN DAVIS,Midnight Bounty-Tr. Abigail Adsit-pulled up-vanned off-no injury reported,
2020,10/05/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park/Ruffian,Other,Thoroughbred,70,Bustin scones,AMIRA ARERAS-CHICHAKLY,,10/05/2020 Horse Bustin Scones  Tr-Amira Chichakly  was Euthanized at Ruffian for Colic by Dr. Hackett.,
2019,11/02/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont TB,Training,Thoroughbred,pt cloudy  53,Kid Robin hood,ANDREW O. WILLIAMS,,Kid Robin Hood sustained an injury to LF Cannon Bone while galloping on the Belmont Training Track. Horse was euthanized due to extent of injury.,Euthanasia
2018,09/21/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,,Loose,ANTHONY W. DUTROW,JUNIOR R. ALVARADO,H-Loose (O/T: Anthony Dutrow) (R:  Junior Alvarado) pulled up in the stretch   taken back to barn in horse ambulance.  Found to have fractures in LF leg necessitating euthanasia.,Euthanasia
2017,06/03/2017,EQUINE DEATH,Belmont Park (NYRA),5/16 pole,Racing,Thoroughbred,75* Clear,Happy Match,ANTHONY W. DUTROW,MANUEL FRANCO,Happy Match-Tr. Anthony Dutrow-pulled up-splint applied-vanned off-fx LF sesamoids-euthanized,Equine Death
2019,06/16/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Backstretch,Other,Thoroughbred,sunny  warm,Ro Bear,ANTONIO C. AVILA,,ROBEAR - Tr. Antonio Avila - Horse died in the barn at Belmont Racetrack from an apparent impaction Colic.,
2017,10/18/2017,RACING INCIDENT,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,70* clear,Third Son,ANTONIO C. AVILA,JOEL ROSARIO,Third Son-Tr-A.C. Avila-pulled up inside the 1/16 pole-walked off the track under his own power.,
2018,09/08/2018,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,68,My Cousin Lou,ANTONIO G. ARRIAGA,ERIC CANCEL,Race 2:  My Cousin Lou (Tr: A. Arriaga; Ridden by Eric Cancel) was pulled up after the wire and taken off the track in the horse ambulance.,
2017,10/21/2017,EQUINE DEATH,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,72* Clear,Bourbonfurme,ARCHIBALD J. KINGSLEY JR,SHANNON K. USKE,Bourbonfuhrme-Tr-A.J. Kingsley-pulled up after finish-vanned off-xrays showed Fx LH Cannon bone-Euthanized,Equine Death
2018,10/19/2018,RACING INCIDENT,Belmont Park (NYRA),5/8 pole,Racing,Thoroughbred,48* Clear,Miss Juno,ARTHUR B. MAGNUSON,MICHAEL J. LUZZI,Miss Juno-Tr-A. Magnuson-pulled up right after the start of race-walked off the track under own power-no injury reported-retired,Steward's List
2016,12/10/2016,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,,Cyrstal Belle,ASSAF RONEN,,Crystal Belle-Tr. Assaf Ronen-sustained injury galloping-splint applied-ambulanced to barn-xray revealed fx LF both sesamoids-euthanized,Injury
2020,09/18/2020,RACING INJURY,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,Sunny,Bunker Hill,BARCLAY TAGG,DYLAN DAVIS,H-Bunker Hill  TR-Barkley Tagg  Jockey Dylan Davis  attempted to have horse vanned off  but subsequently walked off  the track own his own after the wire during the 6th race.  Injury to LF leg.,
2018,09/30/2018,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,,Aqua Bel Sar,BISNATH PARBOO,,H-Aqua Bel Sar (Tr. Bisnath Parboo) collapsed in area of 1/16th pole while breezing on Belmont training track. Inv. Continues.,Equine Death
2018,04/06/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Anchor,BRIAN A. LYNCH,,Anchor - Tr.Brian Lynch - Horse was found dead in stall-Enterotoxaemia,Equine Death
2019,05/11/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Widener Turf,Racing,Thoroughbred,,Noble Cause,BRUCE N. LEVINE,DYLAN DAVIS,NOBLE CAUSE (Tr: Bruce Levine;  J: Dylan Davis) was pulled up in the stretch transported to barn via horse ambulance.  Radiographs at barn revealed injuries necessitating euthanasia. Investigation to continue.,Euthanasia
2018,11/05/2018,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,,Buddy's Tiz,BRUCE N. LEVINE,,Buddy's Tiz (Tr: Bruce Levine  O: Kingfield Stable) collapsed and died around the 7/8 pole after breezing on the training track at Belmont.,Equine Death
2016,10/21/2016,EQUINE DEATH,Belmont Park (NYRA),Main Track,Training,Thoroughbred,65* Cloudy,Long Blooming Rose,BRUCE N. LEVINE,,Long Blooming Rose-Tr. Bruce Levine-cooled out lame back at the barn after breezing-suffered rupture LR suspensory-euthanized,Equine Death
2017,04/28/2017,EQUINE DEATH,Belmont Park (NYRA),Barn-40,Other,Thoroughbred,Cloudy,Rich N Tuck,BRUCE N. LEVINE,,Rich n Tuck-Tr. Bruce Levine-died in shedrow from a case of severe colic,
2017,02/26/2017,EQUINE DEATH,Belmont Park (NYRA),Barn #40,Other,Thoroughbred,,Fabulous Kid,BRUCE N. LEVINE,,Fabulous Kid-Tr. Bruce Levine-euthanized for severe Laminitis,Euthanasia
2017,06/17/2017,FALL OF RIDER,Belmont Park (NYRA),1/2 mile pole,Racing,Thoroughbred,Rain,Smart and Sassy,BRUCE N. LEVINE,JOSE L. ORTIZ,Smart and Sassy-Tr. Bruce Levine-took bad step just past 1/2 mile pole unseating jockey Jose Ortiz-no reported injuries to horse or rider,
2020,06/06/2020,FALL OF RIDER,Belmont Park (NYRA),Belmont Paddock,Other,Thoroughbred,,PLEBE,BRUCE N. LEVINE,MICHAEL J. LUZZI,Plebe Tr:B Levine J: M Luzzi Horse unseated rider in the paddock area horse sctrahed from race,
2016,06/19/2016,FALL OF RIDER,Belmont Park (NYRA),After Finish of Race,Racing,Thoroughbred,,Big East,BRUCE N. LEVINE,MANUEL FRANCO,Big East-Tr. Bruce Levine-unseated Jockey Manuel Franco-going over fallen horse-horse walked off track-no reported injury to Franco,Accident
2019,09/21/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,clear 80,Simmering Miss,BRUCE R. BROWN,DYLAN DAVIS,Simmering Miss - Tr Bruce Brown - was eased in the stretch.  Walked off under own power.,
2019,09/20/2019,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,Clear  cool,Have Another,BRUCE R. BROWN,,Have Another - Tr: Bruce Brown - developed severe RF laminitis and was euthanized.,Equine Death
2019,03/10/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Racetrack,Other,Thoroughbred,rainy and cold,Mighty Zealous,CARLOS F. MARTIN,,Mighty Zealous (Tr. Carlos Martin)  having been treated for approx. 3 weeks for pleuropneumonia  developed severe respiratory distress and was euthanized in its stall.,Euthanasia
2019,05/24/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Widener Turf,Racing,Thoroughbred,,Anne's Song,CARLOS F. MARTIN,KENDRICK CARMOUCHE,ANNE'S SONG (Tr:  Carlos Martin; J:  Kendrick Carmouche) was pulled up in the vicinity of the 1/2 pole  ambulanced off track to the Ruffian Clinic.  Horse euthanized at Ruffian due to poor prognosis.,Injury
2020,10/29/2020,FALL OF RIDER,Belmont Park (NYRA),,Racing,Thoroughbred,Sunny,Bishofberger,CHAD C. BROWN,IRAD ORTIZ JR,H: Bishofberger TR: CC Brown J: Irad Ortiz Jr. Horse Unseated the rider Unk Injury to rider no injury to animal.,
2020,06/06/2020,RACING INCIDENT,Belmont Park (NYRA),BELMONT,Racing,Thoroughbred,,tribhuvan,CHAD C. BROWN,JOSE L. ORTIZ,TRIBHUVAN TR: CC BROWN J: JOSE ORTIZ inside Rein broke during race.,
2016,06/11/2016,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,75* Cloudy,Slumber(GB),CHAD C. BROWN,,Slumber-Tr. Chad Brown-pulled up-ambulanced off-vet exam revealed no injury-retired to stud,
2019,07/06/2019,RACING INCIDENT,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,,Demarchelier (GB),CHAD C. BROWN,JAVIER J. CASTELLANO,DEMARCHELIER (GB)  (Tr:  Chad Brown;  J:  Javier Castellano) was pulled up in the vicinity of the 3/8 pole on the Inner Turf  and was removed via the horse ambulance.  Investigation to continue,
2020,06/27/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont,Training,Thoroughbred,80,Option Value,CHAD C. BROWN,YAMIL ORTIZ,Option Value Tr: C Brown 3 y/o colt sustained injury while breezing on the Belmont main @ 3/8 pole. Vanned off and euthanized by DR Langsman.,Euthanasia
2017,05/07/2017,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,50* Partly Cloudy,Puissant,CHAD C. BROWN,,Puissant (IRE)-Tr. Chad Brown-pulled up-rider off-fx LR cannon-euthanized,Equine Death
2020,08/22/2020,EQUINE DEATH,Belmont Park (NYRA),Main Track,Training,Thoroughbred,86,New Day Dawning,CHAD E. SUMMERS,ALFONSO CAMACHO,New Day Dawning - Tr. Chad Summers - RF leg injury while training/euthanized,Equine Death
2018,01/07/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Steve's Image,CHARLTON A. BAKER,,Steve's Image Tr-Charlton Baker - Horse died in stall from apparent colic,Equine Death
2017,12/09/2017,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,40* Cloudy,Lucky Sugar,CHARLTON A. BAKER,,Lucky Sugar/Tr-C. Baker-Fx RF cannon bone breezing-was euthanized on the track.,
2020,05/25/2020,EQUINE DEATH,Belmont Park (NYRA),"Elmont, NY",Other,Thoroughbred,65,Shock Therapy,CHARLTON A. BAKER,,H- SHOCK THERAPY (Tr. Charlton Baker)  at Ruffian clinic being treated for pleuropneumonia and laminitis  subsequently euthanized due to poor prognosis.,Euthanasia
2019,04/01/2019,EQUINE DEATH,Belmont Park (NYRA),Finish line,Training,Thoroughbred,,Pretty Enuff,CHARLTON A. BAKER,,Horse Pretty Enuff (Tr-C. Baker) sustained injury to her right front leg while breezing  was X-rayed and euthanized due to poor prognosis.,
2020,05/18/2020,EQUINE DEATH,Belmont Park (NYRA),Ruffian Hospital,Other,Thoroughbred,72,Schiller's Lit,CHARLTON A. BAKER,,H-SCHILLER'S LIT (Tr.Charlton Baker) acutely lame after exercise 5/18/20 to diagnose lameness  sent to Ruffian hospital 5/21/20  where injury prognosis necessitated euthanasia.,Euthanasia
2018,10/19/2018,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,48* Partly Cloudy,Encryption Code,CHARLTON A. BAKER,DYLAN DAVIS,Encryption Key-Trainer C. Baker was pulled up after the finish and taken off in the horse ambulance. Investigation to follow.,Lameness
2020,05/28/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Training track,Training,Thoroughbred,70,Bluegrass Jamboree,CHARLTON A. BAKER,CELSO J. VILLA,H-BLUEGRASS JAMBOREE (Tr. Charlton Baker) sustained a cardiovascular collapse at the wire after galloping  expired on track.,
2019,09/25/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,76,Haloween Horror,CHARLTON A. BAKER,DYLAN DAVIS,Halloween Horror-Trainer:Charlton Baker after finishing race #5 horse was Vaned off track Investigation continues,
2019,09/22/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Munchkin Money,CHRISTOPHE CLEMENT,IRAD ORTIZ JR,Horse Munchkin Money - Trainer Christophe Clement - broke slow out of the starting gate and pulled up  walked off track.,
2017,09/20/2017,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,75* Clody,Submit,CHRISTOPHE CLEMENT,JOSE L. ORTIZ,Submit-Tr. Christopher Clement-Fx LF cannon bone racing-euthanized on track,Equine Death
2017,11/25/2017,EQUINE DEATH,Belmont Park (NYRA),Belmont,Training,Thoroughbred,,Bail,CHRISTOPHE CLEMENT,,Bail Tr.-Christoph Clement. Fractured LF cannon bone and sesamoid at the 1/4 pole. Euthanized.,Injury
2018,10/14/2018,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,,Miss Technicality,CHRISTOPHE CLEMENT,,Miss Technicality (Tr. C. Clement) - sustained an injury after the wire while breezing.  She was transported to her barn via horse ambulance  and after examination  was humanely euthanized.,Euthanasia
2020,06/06/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Gucci Factor,CHRISTOPHE CLEMENT,JUNIOR R. ALVARADO,Gucci Factor Tr: C Clement J: J Alvardo DNF Pulled at the 1/16 pole Vanned off,
2020,07/30/2020,EQUINE DEATH,Belmont Park (NYRA),Barn 22,Other,Thoroughbred,85,Pasta,CHRISTOPHE CLEMENT,,H-PASTA (Tr C. Clement) was deliberately let out of her stall by ex-employee  ran loose and fell.  Injuries sustained in fall subsequently necessitated euthanasia. Inv. Initiated.,Euthanasia
2016,04/09/2016,EQUINE DEATH,Belmont Park (NYRA),barn area,Other,Thoroughbred,,Alexa's Miracle,CHRISTOPHER J. ENGLEHART,,Alexa's Miracle-Tr. Christopher Englehart-euthanized for verterbral disease,Equine Death
2019,01/29/2019,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,,Catpsalm,CHRISTOPHER J. ENGLEHART,,Catpsalm-Tr. Chris Englehart-euthanized due to poor prognosis for presumptive EPM-horse did have EPM,Euthanasia
2016,06/04/2016,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,75* Hazy,Mordi's Miracle,CHRISTOPHER J. ENGLEHART,MANUEL FRANCO,Mordi's Miracle-Tr. Christopher Englehart-pulled up-ambulanced off-euthanized,Equine Death
2020,08/30/2020,EQUINE DEATH,Belmont Park (NYRA),Ruffian Equine Clinic,Other,Thoroughbred,,Ready To Escape,CHRISTOPHER J. ENGLEHART,,Ready to Escape - Tr. Chris Englehart - Colic/euthanized,Equine Death
2018,06/03/2018,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,,Overdraft,CHRISTOPHER J. ENGLEHART,,Overdraft-Tr C. Englehart-euthanized for a fratured pelvis that happened in the stall at Belmont.,
2020,06/25/2020,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,,CHUCKLES (NY),CHRISTOPHER J. ENGLEHART,JUNIOR R. ALVARADO,CHUCKLES (NY)  racehorse  on Friday  6/25/20  in Race 2 at Belmont Park  pulled up in the upper stretch  escorted by pony before being walked off under his own power. Investigation initiated.,
2016,09/30/2016,EQUINE DEATH,Belmont Park (NYRA),Stall,Other,Thoroughbred,55* Cloudy,Lady Lapuma 14 unamed,CHRISTOPHER J. ENGLEHART,,Lady Lapuma 14-(Unnamed 2 yo)-Tr. Christopher Englehart-found dead in stall-Fx pelvis with hemorraging,Equine Death
2020,06/04/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont TT,Training,Thoroughbred,clear,Chouchou de Boo,CHRISTOPHER J. ENGLEHART,RAMON DAMASO,H-Chouchou de Boo  Tr-Englehart  C.  Horse after returning from Belmont TT  was transported by ambulance to Ruffian  where after radiographs reveal several  injuries  Dr. Claffey decided to Euthanized.,Euthanasia
2016,09/18/2016,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,80* Mostly Cloudy,super city,COLUM O'BRIEN,,Super City-Tr. Colum O'Brien-pulled up-vanned off-investigation continues,
2017,09/01/2017,EQUINE DEATH,Belmont Park (NYRA),main track 3/4 pole,Training,Thoroughbred,clear,Karen Kan,DANNY A. GARGAN,,Karen Kan - Tr. Danny Gargan - fx L humeral bone  while galloping - ambulanced off - euthanized,Equine Death
2019,02/04/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont training track,Training,Thoroughbred,,Chronos,DANNY A. GARGAN,,Chronos-Tr-D. Gargan-euthanized on 02/04/19 after breezing on the training track on 02/03/19 for a fracture to his right front leg-investigation to follow.,Equine Death
2016,10/03/2016,EQUINE DEATH,Belmont Park (NYRA),finish line-training,Training,Thoroughbred,,Onlytheshadowknows,DANNY A. GARGAN,,Onlytheshadowknows-Tr. Danny Gargan-suffered injury to RF leg breezing-ambulanced to barn-xrays revealed fx RF sesamoids-euthanized,Equine Death
2017,06/21/2017,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Malibu Squeeze,DAVID A. CANNIZZO,,Malibu Squeeze-Tr. David Cannizzo-severe LH laminitis-euthanized,Euthanasia
2018,10/06/2018,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,67* Cloudy,Hubba Bubba,DAVID A. CANNIZZO,JOEL ROSARIO,Hubba Bubba/D. Cannizzo-pulled up after the finish-was vanned off-no injuries reported,
2017,04/30/2017,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,60* Mostly Cloudy,Aragonite,DAVID G. DONK,JOHN R. VELAZQUEZ,Aragonite-Tr. David Donk-FX LF Cannon Bone/Sesamoids-1/8pole-euthanized,Equine Death
2017,02/27/2017,EQUINE DEATH,Belmont Park (NYRA),TT-1/8 pole,Training,Thoroughbred,50*,Missy's Hat Trick,DAVID G. DONK,,Missy's Hat Trick-Tr. David Donk-fractured R shoulder while galloping-euthanized,Equine Death
2017,10/26/2017,EQUINE DEATH,Belmont Park (NYRA),Belmont TT,Training,Thoroughbred,,Saratoga Swayz,DAVID G. DONK,,Saratoga Swayz.Tr.-David Donk.Sustained R Humeral Fx galloping on the Belmont TT @3/8 pole and fell.Euthanized.,Euthanasia
2020,07/14/2020,EQUINE DEATH,Belmont Park (NYRA),Training Track,Training,Thoroughbred,,Bourbon High,DAVID H. ADEL,,Bourbon High - Tr. David Adel - Sesamoid injury while training necessitating euthanasia.,Equine Death
2016,01/30/2016,EQUINE DEATH,Belmont Park (NYRA),3/16 Pole of Training Track,Training,Thoroughbred,,Songa,DAVID JACOBSON,,Songa-Tr. David Jacobson-fell unseating rider while breezing on TT-sustained fx RF leg-euthanized on track,Equine Death
2016,10/20/2016,EQUINE DEATH,Belmont Park (NYRA),Belmont TT,Training,Thoroughbred,,Baccelo,DAVID JACOBSON,,Baccelo-Tr. David Jacobson Rider-unseated rider while galloping-fx RF leg running loose-caught and ambulanced off-euthanized,Equine Death
2016,12/05/2016,EQUINE DEATH,Belmont Park (NYRA),5/8 pole,Training,Thoroughbred,,Sinistra,DAVID JACOBSON,,Sinistra-Tr. David Jacobson-pulled up after breezing-collapsed and died-cardiovascular collapse,Equine Death
2017,04/29/2017,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,65* Partly cloudy,Dhamaan,DAVID JACOBSON,CORNELIO VELASQUEZ,Dhamaan-Tr. David Jacobson-pulled up-vanned off-no injuries reported-time off,
2017,09/17/2017,RACING INJURY,Belmont Park (NYRA),,Racing,Thoroughbred,,whyamisolucky,DOMINIC GIGLIO,PABLO FRAGOSO,Whyamisolucky-Trainer Dominick Giglio  Jr.-reared up in gate sustaining minor lacerations-scratched from race-to be re-examined by vet-back racing,Injury
2016,01/29/2016,EQUINE DEATH,Belmont Park (NYRA),Stall/Barn,Other,Thoroughbred,,Lemon Iceking,DOMINICK L. SCHETTINO,,Lemon Iceking-Tr. Dominick Schettino-being treated for recurring bronchopneumonia without resolution-found dead in stall,Equine Death
2016,06/08/2016,EQUINE DEATH,Belmont Park (NYRA),3/4 pole,Training,Thoroughbred,72* Clear,Rose Bern,DOMINICK L. SCHETTINO,,Rose Bern-Tr. Dominic Schettino-fx left hind leg breezing-euthanized on track,Equine Death
2017,05/20/2017,RACING INCIDENT,Belmont Park (NYRA),Half Mile Pole,Racing,Thoroughbred,,Bred To Boss,DOODNAUTH SHIVMANGAL,DYLAN DAVIS,Bred to Boss.-Tr. D.Shivmangal-pulled up-ambulance off-per trainer back in training,
2020,05/31/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Main,Training,Thoroughbred,70,Truck Salesman,DOUG F. O'NEILL,,H- TRUCK SALESMAN (Tr.Doug O'Neill)  4yo gelding  sustained LF leg injury while breezing  euthanized on track. Investigation initiated.,Euthanasia
2020,10/08/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,67,Nero's Fiddle,EDMUND D. DAVIS,DYLAN DAVIS,Nero's Fiddle Tr:  E.D. Davis Horse pulled up lame at 3/4 pole  ambulanced off track and vet exam revealed injuries to RH leg necessitating euthanasia.,
2020,06/03/2020,FALL OF RIDER,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,Cloudy/rain,Gaultier,EDMUND PRINGLE WHILBY,TALBERT HOWELL,H-Gaultier (FR)  tr-E. Pringle)  J-Talbert Howell  on the 4th race horse unseated the rider at the start of the race.,
2017,06/29/2017,EQUINE DEATH,Belmont Park (NYRA),backstretch belmont,Other,Thoroughbred,sunny,hidden accounts,EDMUND PRINGLE WHILBY,,Hidden Accounts-Tr. Edmund Pringle-horse spooked-fell awkwardly-would not stand-euthanized,Equine Death
2019,11/24/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,49,Goneonamission,EDUARDO E. JONES,,GONEONAMISSION (Tr. E. E. Jones) found deceased in stall with apparent head injury.,Equine Death
2020,11/05/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont TT,Training,Thoroughbred,,Beautiful Amaila,EDUARDO E. JONES,,H: Beautiful  Amaila T: E.E.Jones 3 y/o sustained injury to it legs euthanized on  the track,
2017,11/16/2017,EQUINE DEATH,Belmont Park (NYRA),Training track,Training,Thoroughbred,,Ogan's Runner,EDUARDO E. JONES,,Ogan's Runner-Tr E.E.Jones-sustained closed fracture RFL while galloping on training track 11/16/17  ambulanced to Ruffian  subsequently euthanized 11/17/17.,Euthanasia
2016,07/02/2016,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Norm the giant,EDWARD J. DELAURO,JOSE LEZCANO,Norm The Giant-Tr. Edward DeLauro-ambulanced off after finish-claim voided-returned to racing,
2020,05/31/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Main,Training,Thoroughbred,70,Brahe,EDWARD J. DELAURO,LUIS H. PEREIRA,H-BRAHE (Tr. Edward DeLauro)  4 yo gelding  sustained injuries to both front legs while breezing on main track  necessitating euthanasia on track. Investigation initiated.,Euthanasia
2018,10/18/2018,FALL OF RIDER,Belmont Park (NYRA),,Unknown,Thoroughbred,,Mo Flash,EDWARD R. BARKER,JOEY R. MARTINEZ,Mo Flash (Tr: E. R. Barker; J: Joey Martinez) reared  unseated her rider  and got loose prior to the race.  She was scratched and Apprentice Jockey Martinez went directly to the hospital. Rider cleared to ride,
